time_stamp,ram_avg,running_hosts,idle_hosts,offline_hosts,predicted_ram,ram_compute1,vms_compute1,ram_compute2,vms_compute2,ram_compute3,vms_compute3
2026-09-02 20:54:39,14.83,0,3,0,,19.35,0,10.45,0,14.70,0
2026-09-02 20:54:52,16.80,0,3,0,,14.00,0,19.55,0,16.85,0
2026-09-02 20:55:04,11.87,0,3,0,,10.70,0,14.15,0,10.75,0
2026-09-02 20:55:17,16.37,0,3,0,,19.15,0,10.65,0,19.30,0
2026-09-02 20:55:29,14.52,0,3,0,,11.45,0,19.45,0,12.65,0
2026-09-02 20:55:43,12.92,0,3,0,,15.00,0,13.70,0,10.05,0
2026-09-02 20:55:56,15.65,1,2,0,,17.10,1,10.65,0,19.20,0
2026-09-02 20:56:09,15.28,1,2,0,,17.80,1,14.75,0,13.30,0
2026-09-02 20:56:23,15.77,1,2,0,,17.80,1,18.75,0,10.75,0
2026-09-02 20:56:36,16.83,1,2,0,,22.00,1,13.75,0,14.75,0
2026-09-02 20:56:49,15.23,1,2,0,,18.00,1,10.75,0,16.95,0
2026-09-02 20:57:03,18.15,1,2,0,,23.85,1,19.55,0,11.05,0
2026-09-02 20:57:16,19.43,2,1,0,,26.70,1,16.50,0,15.10,1
2026-09-02 20:57:30,15.82,2,1,0,,17.95,1,12.75,0,16.75,1
2026-09-02 20:57:45,15.00,2,1,0,,17.95,1,10.75,0,16.30,1
2026-09-02 20:57:58,18.45,2,1,0,,24.05,1,14.75,0,16.55,1
2026-09-02 20:58:11,18.65,2,1,0,,17.85,1,18.75,0,19.35,1
2026-09-02 20:58:25,21.93,3,0,0,,25.80,1,14.00,1,26.00,1
2026-09-02 20:58:38,17.17,3,0,0,,17.85,1,16.50,1,17.15,1
2026-09-02 20:58:52,20.27,3,0,0,,25.95,1,17.35,1,17.50,1
2026-09-02 20:59:05,19.93,3,0,0,,17.95,1,21.65,1,20.20,1
2026-09-02 20:59:19,21.62,3,0,0,,25.85,1,17.45,1,21.55,1
2026-09-02 20:59:32,19.40,3,0,0,,17.90,1,20.90,1,19.40,1
2026-09-02 20:59:45,23.62,3,0,0,,22.85,2,26.55,1,21.45,1
2026-09-02 20:59:58,20.72,3,0,0,,24.45,2,17.65,1,20.05,1
2026-09-02 21:00:12,21.27,3,0,0,,24.60,2,17.70,1,21.50,1
2026-09-02 21:00:25,22.73,3,0,0,,28.60,2,19.90,1,19.70,1
2026-09-02 21:00:38,23.93,3,0,0,,28.70,2,21.65,1,21.45,1
2026-09-02 21:00:52,22.32,3,0,0,,26.10,2,19.95,1,20.90,1
2026-09-02 21:01:06,27.40,3,0,0,,32.90,2,21.65,1,27.65,2
2026-09-02 21:01:19,25.87,3,0,0,,28.60,2,23.70,1,25.30,2
2026-09-02 21:01:33,23.48,3,0,0,,28.60,2,17.65,1,24.20,2
2026-09-02 21:01:46,26.42,3,0,0,,24.80,2,26.05,1,28.40,2
2026-09-02 21:01:59,25.15,3,0,0,,33.25,2,17.70,1,24.50,2
2026-09-02 21:02:13,28.05,3,0,0,,25.30,2,26.45,2,32.40,2
2026-09-02 21:02:27,31.90,3,0,0,,32.60,2,30.05,2,33.05,2
2026-09-02 21:02:40,25.67,3,0,0,,24.60,2,28.15,2,24.25,2
2026-09-02 21:02:55,27.42,3,0,0,,33.10,2,24.90,2,24.25,2
2026-09-02 21:03:08,27.75,3,0,0,,27.25,2,27.25,2,28.75,2
2026-09-02 21:03:24,27.07,3,0,0,,28.60,2,28.35,2,24.25,2
2026-09-02 21:03:37,27.58,3,0,0,,26.80,3,26.25,2,29.70,2
2026-09-02 21:03:50,30.80,3,0,0,,33.60,3,30.50,2,28.30,2
2026-09-02 21:04:03,33.33,3,0,0,,40.25,3,30.20,2,29.55,2
2026-09-02 21:04:16,33.47,3,0,0,,39.50,3,32.55,2,28.35,2
2026-09-02 21:04:30,30.17,3,0,0,,39.40,3,24.65,2,26.45,2
2026-09-02 21:04:44,32.30,3,0,0,,35.50,3,33.15,2,28.25,2
2026-09-02 21:04:57,28.97,3,0,0,,32.05,3,24.30,2,30.55,3
2026-09-02 21:05:11,36.80,3,0,0,,39.65,3,32.70,2,38.05,3
2026-09-02 21:05:25,32.22,3,0,0,,34.75,3,24.75,2,37.15,3
2026-09-02 21:05:38,32.95,3,0,0,,39.55,3,28.30,2,31.00,3
2026-09-02 21:05:51,30.00,3,0,0,,31.45,3,25.10,2,33.45,3
2026-09-02 21:06:04,36.50,3,0,0,,37.55,3,32.50,3,39.45,3
2026-09-02 21:06:19,32.22,3,0,0,,30.90,3,34.75,3,31.00,3
2026-09-02 21:06:34,35.70,3,0,0,,36.75,3,36.45,3,33.90,3
2026-09-02 21:06:50,34.07,3,0,0,,31.55,3,36.55,3,34.10,3
