time_stamp,ram_avg,running_hosts,idle_hosts,offline_hosts,predicted_ram,ram_compute1,vms_compute1,ram_compute2,vms_compute2,ram_compute3,vms_compute3
2026-09-02 06:45:19,14.67,0,3,0,,17.10,0,15.00,0,11.90,0
2026-09-02 06:45:31,3.68,0,3,0,,11.05,0,0.00,0,0.00,0
2026-09-02 06:45:52,5.63,0,3,0,,16.90,0,0.00,0,0.00,0
2026-09-02 06:46:03,13.85,0,1,2,,13.85,0,0.00,0,0.00,0
2026-09-02 06:46:15,10.70,0,1,2,,10.70,0,0.00,0,0.00,0
2026-09-02 06:46:26,16.60,0,1,2,,16.60,0,0.00,0,0.00,0
2026-09-02 06:46:38,21.40,1,0,2,,21.40,1,0.00,0,0.00,0
2026-09-02 06:46:49,16.70,1,0,2,,16.70,1,0.00,0,0.00,0
2026-09-02 06:47:00,21.80,1,0,2,,21.80,1,0.00,0,0.00,0
2026-09-02 06:47:12,25.85,1,0,2,,25.85,1,0.00,0,0.00,0
2026-09-02 06:47:23,19.80,1,0,2,,19.80,1,0.00,0,0.00,0
2026-09-02 06:47:34,17.85,1,0,2,,17.85,1,0.00,0,0.00,0
2026-09-02 06:47:46,17.25,1,0,2,,17.25,1,0.00,0,0.00,0
2026-09-02 06:47:58,28.55,1,0,2,,28.55,2,0.00,0,0.00,0
2026-09-02 06:48:10,23.70,1,0,2,,23.70,2,0.00,0,0.00,0
2026-09-02 06:48:21,27.00,1,0,2,,27.00,2,0.00,0,0.00,0
2026-09-02 06:48:33,27.55,1,0,2,,27.55,2,0.00,0,0.00,0
2026-09-02 06:48:44,28.65,1,0,2,,28.65,2,0.00,0,0.00,0
2026-09-02 06:48:56,27.90,1,0,2,,27.90,2,0.00,0,0.00,0
2026-09-02 06:49:09,23.85,1,0,2,,23.85,2,0.00,0,0.00,0
2026-09-02 06:49:20,31.35,1,0,2,,31.35,3,0.00,0,0.00,0
2026-09-02 06:49:32,28.35,1,0,2,,28.35,3,0.00,0,0.00,0
2026-09-02 06:49:44,37.95,1,0,2,,37.95,3,0.00,0,0.00,0
2026-09-02 06:49:55,35.25,1,0,2,,35.25,3,0.00,0,0.00,0
2026-09-02 06:50:07,39.70,1,0,2,,39.70,3,0.00,0,0.00,0
2026-09-02 06:50:18,34.55,1,0,2,,34.55,3,0.00,0,0.00,0
2026-09-02 06:50:30,33.45,1,0,2,,33.45,4,0.00,0,0.00,0
2026-09-02 06:50:42,37.70,1,0,2,,37.70,4,0.00,0,0.00,0
2026-09-02 06:50:53,36.45,1,0,2,,36.45,4,0.00,0,0.00,0
2026-09-02 06:51:05,40.40,1,0,2,,40.40,4,0.00,0,0.00,0
2026-09-02 06:51:16,46.60,1,0,2,,46.60,4,0.00,0,0.00,0
2026-09-02 06:51:29,43.95,1,0,2,,43.95,4,0.00,0,0.00,0
2026-09-02 06:51:40,38.10,1,0,2,,38.10,5,0.00,0,0.00,0
2026-09-02 06:51:51,48.40,1,0,2,,48.40,5,0.00,0,0.00,0
2026-09-02 06:52:03,40.30,1,0,2,,40.30,5,0.00,0,0.00,0
2026-09-02 06:52:14,46.40,1,0,2,,46.40,5,0.00,0,0.00,0
2026-09-02 06:52:25,51.75,1,0,2,,51.75,5,0.00,0,0.00,0
2026-09-02 06:52:36,46.50,1,0,2,,46.50,5,0.00,0,0.00,0
2026-09-02 06:52:48,48.55,1,0,2,,48.55,5,0.00,0,0.00,0
2026-09-02 06:52:59,47.75,1,0,2,,47.75,6,0.00,0,0.00,0
2026-09-02 06:53:11,50.65,1,0,2,,50.65,6,0.00,0,0.00,0
2026-09-02 06:53:22,55.30,1,0,2,,55.30,6,0.00,0,0.00,0
2026-09-02 06:53:33,51.65,1,0,2,,51.65,6,0.00,0,0.00,0
2026-09-02 06:53:45,50.10,1,0,2,,50.10,6,0.00,0,0.00,0
2026-09-02 06:53:56,59.40,1,0,2,,59.40,6,0.00,0,0.00,0
2026-09-02 06:54:09,51.45,1,0,2,,51.45,6,0.00,0,0.00,0
2026-09-02 06:54:20,62.00,1,0,2,,62.00,7,0.00,0,0.00,0
2026-09-02 06:54:32,59.05,1,0,2,,59.05,7,0.00,0,0.00,0
2026-09-02 06:54:43,54.55,1,0,2,,54.55,7,0.00,0,0.00,0
2026-09-02 06:54:55,65.20,1,0,2,,65.20,7,0.00,0,0.00,0
2026-09-02 06:55:06,58.15,1,0,2,,58.15,7,0.00,0,0.00,0
2026-09-02 06:55:18,62.10,1,0,2,,62.10,7,0.00,0,0.00,0
2026-09-02 06:55:29,63.65,1,0,2,,63.65,8,0.00,0,0.00,0
2026-09-02 06:55:40,60.50,1,0,2,,60.50,8,0.00,0,0.00,0
2026-09-02 06:55:51,69.75,1,0,2,,69.75,8,0.00,0,0.00,0
2026-09-02 06:56:03,62.75,1,0,2,,62.75,8,0.00,0,0.00,0
2026-09-02 06:56:14,71.25,1,0,2,,71.25,8,0.00,0,0.00,0
2026-09-02 06:56:26,65.05,1,0,2,,65.05,8,0.00,0,0.00,0
2026-09-02 06:56:38,68.85,1,0,2,,68.85,8,0.00,0,0.00,0
