time_stamp,ram_avg,running_hosts,idle_hosts,offline_hosts,predicted_ram,ram_compute1,vms_compute1,ram_compute2,vms_compute2,ram_compute3,vms_compute3
2026-09-01 16:35:29,12.12,0,3,0,76.77,10.95,0,9.90,0,15.50,0
2026-09-01 16:35:45,6.32,0,3,0,,18.95,0,0.00,0,0.00,0
2026-09-01 16:36:01,9.80,0,2,1,,19.60,0,0.00,0,0.00,0
2026-09-01 16:36:12,14.95,0,1,2,,14.95,0,0.00,0,0.00,0
2026-09-01 16:36:23,12.10,0,1,2,,12.10,0,0.00,0,0.00,0
2026-09-01 16:36:35,19.40,0,1,2,,19.40,0,0.00,0,0.00,0
2026-09-01 16:36:47,22.10,1,0,2,,22.10,1,0.00,0,0.00,0
2026-09-01 16:36:59,17.60,1,0,2,,17.60,1,0.00,0,0.00,0
2026-09-01 16:37:10,22.05,1,0,2,,22.05,1,0.00,0,0.00,0
2026-09-01 16:37:21,26.40,1,0,2,,26.40,1,0.00,0,0.00,0
2026-09-01 16:37:33,25.95,1,0,2,,25.95,1,0.00,0,0.00,0
2026-09-01 16:37:44,22.00,1,0,2,,22.00,1,0.00,0,0.00,0
2026-09-01 16:37:55,22.15,1,0,2,,22.15,2,0.00,0,0.00,0
2026-09-01 16:38:07,27.45,1,0,2,,27.45,2,0.00,0,0.00,0
2026-09-01 16:38:18,24.20,1,0,2,,24.20,2,0.00,0,0.00,0
2026-09-01 16:38:30,28.60,1,0,2,,28.60,2,0.00,0,0.00,0
2026-09-01 16:38:41,33.20,1,0,2,,33.20,2,0.00,0,0.00,0
2026-09-01 16:38:53,26.45,1,0,2,,26.45,2,0.00,0,0.00,0
2026-09-01 16:39:04,24.50,1,0,2,,24.50,2,0.00,0,0.00,0
2026-09-01 16:39:16,30.85,1,0,2,,30.85,3,0.00,0,0.00,0
2026-09-01 16:39:27,37.55,1,0,2,,37.55,3,0.00,0,0.00,0
2026-09-01 16:39:39,33.50,1,0,2,,33.50,3,0.00,0,0.00,0
2026-09-01 16:39:50,31.40,1,0,2,,31.40,3,0.00,0,0.00,0
2026-09-01 16:40:02,39.70,1,0,2,,39.70,3,0.00,0,0.00,0
2026-09-01 16:40:13,33.05,1,0,2,,33.05,3,0.00,0,0.00,0
2026-09-01 16:40:24,36.05,1,0,2,,36.05,4,0.00,0,0.00,0
2026-09-01 16:40:36,41.65,1,0,2,,41.65,4,0.00,0,0.00,0
2026-09-01 16:40:47,37.55,1,0,2,,37.55,4,0.00,0,0.00,0
2026-09-01 16:40:59,41.75,1,0,2,,41.75,4,0.00,0,0.00,0
2026-09-01 16:41:10,41.10,1,0,2,,41.10,4,0.00,0,0.00,0
2026-09-01 16:41:21,38.05,1,0,2,,38.05,4,0.00,0,0.00,0
2026-09-01 16:41:33,42.05,1,0,2,,42.05,4,0.00,0,0.00,0
2026-09-01 16:41:44,44.00,1,0,2,,44.00,5,0.00,0,0.00,0
2026-09-01 16:41:55,41.20,1,0,2,,41.20,5,0.00,0,0.00,0
2026-09-01 16:42:07,51.70,1,0,2,,51.70,5,0.00,0,0.00,0
2026-09-01 16:42:18,44.90,1,0,2,,44.90,5,0.00,0,0.00,0
2026-09-01 16:42:30,48.70,1,0,2,,48.70,5,0.00,0,0.00,0
2026-09-01 16:42:41,52.90,1,0,2,,52.90,5,0.00,0,0.00,0
2026-09-01 16:42:53,47.35,1,0,2,,47.35,5,0.00,0,0.00,0
2026-09-01 16:43:04,49.15,1,0,2,,49.15,6,0.00,0,0.00,0
2026-09-01 16:43:16,50.20,1,0,2,,50.20,6,0.00,0,0.00,0
2026-09-01 16:43:27,49.70,1,0,2,,49.70,6,0.00,0,0.00,0
2026-09-01 16:43:38,55.25,1,0,2,,55.25,6,0.00,0,0.00,0
2026-09-01 16:43:50,57.45,1,0,2,,57.45,6,0.00,0,0.00,0
2026-09-01 16:44:01,51.40,1,0,2,,51.40,6,0.00,0,0.00,0
2026-09-01 16:44:13,59.35,1,0,2,,59.35,7,0.00,0,0.00,0
2026-09-01 16:44:24,53.40,1,0,2,,53.40,7,0.00,0,0.00,0
2026-09-01 16:44:36,62.65,1,0,2,,62.65,7,0.00,0,0.00,0
2026-09-01 16:44:48,57.85,1,0,2,,57.85,7,0.00,0,0.00,0
2026-09-01 16:44:59,61.30,1,0,2,,61.30,7,0.00,0,0.00,0
2026-09-01 16:45:11,58.20,1,0,2,,58.20,7,0.00,0,0.00,0
2026-09-01 16:45:24,66.20,1,0,2,76.73,66.20,7,0.00,0,0.00,0
2026-09-01 16:45:36,60.10,1,0,2,76.73,60.10,8,0.00,0,0.00,0
2026-09-01 16:45:47,64.45,1,0,2,79.51,64.45,8,0.00,0,0.00,0
2026-09-01 16:45:59,68.80,1,0,2,79.51,68.80,8,0.00,0,0.00,0
2026-09-01 16:46:11,62.25,1,0,2,79.51,62.25,8,0.00,0,0.00,0
