time_stamp,mem,vms,secs_since_vm_created,secs_since_vm_deleted,swap,loadavg
2026-09-01 16:35:23,11.2,0,9999.0,9999.0,0.0,2.11
2026-09-01 16:46:25,13.45,0,9999.0,9999.0,0.0,3.43
2026-09-01 16:46:56,12.7,0,9999.0,9999.0,0.0,3.04
2026-09-01 16:47:27,10.5,0,9999.0,9999.0,0.0,2.75
2026-09-01 16:47:58,10.45,0,9999.0,9999.0,0.0,2.67
2026-09-01 16:48:29,16.75,1,23.8,9999.0,0.0,3.06
2026-09-01 16:49:00,17.55,1,54.8,9999.0,0.0,3.51
2026-09-01 16:49:31,27.85,2,10.5,9999.0,0.0,3.88
2026-09-01 16:50:02,25.9,2,41.5,9999.0,0.0,4.63
2026-09-01 16:50:34,24.25,2,73.3,9999.0,0.0,5.42
2026-09-01 16:51:05,33.4,3,29.0,9999.0,0.0,5.97
2026-09-01 16:51:36,39.2,3,60.2,9999.0,0.0,6.93
2026-09-01 16:52:08,32.85,4,14.0,9999.0,0.0,7.38
2026-09-01 16:52:39,39.85,4,45.2,9999.0,0.0,7.55
2026-09-01 16:53:11,40.6,4,76.9,9999.0,0.0,8.3
2026-09-01 16:53:41,43.05,4,107.8,9999.0,0.0,8.04
2026-09-01 16:54:13,37.5,4,139.5,9999.0,0.0,7.06
2026-09-01 16:54:44,43.05,4,170.8,9999.0,0.0,6.45
2026-09-01 16:55:15,39.8,4,201.8,9999.0,0.0,5.84
2026-09-01 16:55:46,45.6,4,232.7,9999.0,0.0,5.9
2026-09-01 16:56:17,45.8,4,263.5,9999.0,0.0,5.88
2026-09-01 16:56:48,41.55,4,294.4,9999.0,0.0,5.96
2026-09-01 16:57:19,37.1,4,325.4,9999.0,0.0,5.97
2026-09-01 16:57:50,38.2,4,356.2,9999.0,0.0,6.05
2026-09-01 16:58:21,40.9,4,387.0,9999.0,0.0,5.93
2026-09-01 16:58:52,44.45,4,417.9,9999.0,0.0,6.35
2026-09-01 16:59:22,46.3,4,448.7,9999.0,0.0,5.88
2026-09-01 16:59:53,46.4,5,19.5,9999.0,0.0,6.68
2026-09-01 17:00:24,51.7,5,50.5,9999.0,0.0,6.72
2026-09-01 17:00:55,44.15,5,81.4,9999.0,0.0,6.77
2026-09-01 17:01:26,53.05,5,112.4,9999.0,0.0,6.53
2026-09-01 17:01:57,48.3,5,143.3,9999.0,0.0,6.35
2026-09-01 17:02:28,53.1,6,21.5,9999.0,0.0,7.48
2026-09-01 17:03:00,59.35,6,52.7,9999.0,0.0,8.55
2026-09-01 17:03:30,50.9,6,83.6,9999.0,0.0,7.92
2026-09-01 17:04:01,59.35,6,114.6,9999.0,0.0,7.54
2026-09-01 17:04:32,50.95,6,145.5,9999.0,0.0,7.29
2026-09-01 17:05:03,60.3,7,23.8,9999.0,0.0,7.0
2026-09-01 17:05:34,65.8,7,54.9,9999.0,0.0,8.07
2026-09-01 17:06:06,56.6,7,86.0,9999.0,0.0,9.32
2026-09-01 17:06:37,66.3,7,117.2,9999.0,0.0,7.93
2026-09-01 17:07:08,61.6,7,148.6,9999.0,0.0,7.46
2026-09-01 17:07:40,66.75,8,27.5,9999.0,0.0,7.77
2026-09-01 17:08:10,67.75,8,58.5,9999.0,0.0,9.87
2026-09-01 17:08:42,63.85,8,89.5,9999.0,0.0,9.29
2026-09-01 17:09:13,64.55,8,120.7,9999.0,0.0,8.39
2026-09-01 17:09:44,73.15,8,151.7,9999.0,0.0,7.72
2026-09-01 17:10:15,70.15,9,28.1,9999.0,0.0,8.27
2026-09-01 17:10:46,74.9,9,59.3,9999.0,0.0,9.52
